source_id	source_db	source	xref_id
243	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.2c01106	https://www.chemicalprobes.org/
244	Chemical Probes Portal	AZD4547	https://www.chemicalprobes.org/
245	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.9b00112	https://www.chemicalprobes.org/
246	Chemical Probes Portal	SGC-iMLLT	https://www.chemicalprobes.org/
247	Chemical Probes Portal	DOI:10.1021/ml5002932	https://www.chemicalprobes.org/
248	Chemical Probes Portal	DOI:10.1021/acsmedchemlett.7b00132	https://www.chemicalprobes.org/
249	Chemical Probes Portal	SGC-SMARCA-BRDVIII	https://www.chemicalprobes.org/
250	Chemical Probes Portal	DOI:10.1016/j.bmcl.2012.08.107	https://www.chemicalprobes.org/
251	Chemical Probes Portal	DOI:10.1101/2021.02.08.430291	https://www.chemicalprobes.org/
252	Chemical Probes Portal	PFI-3	https://www.chemicalprobes.org/
253	Chemical Probes Portal	DOI:10.3324/haematol.2018.213462	https://www.chemicalprobes.org/
254	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.8b01213	https://www.chemicalprobes.org/
255	Chemical Probes Portal	DOI:10.1016/j.bmcl.2017.08.016	https://www.chemicalprobes.org/
256	Chemical Probes Portal	TTT20171	https://www.chemicalprobes.org/
257	Chemical Probes Portal	DOI:10.1038/nchembio.1105	https://www.chemicalprobes.org/
258	Chemical Probes Portal	RSL3	https://www.chemicalprobes.org/
259	Chemical Probes Portal	DOI:10.1021/jm9005065	https://www.chemicalprobes.org/
260	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.1c01012	https://www.chemicalprobes.org/
261	Chemical Probes Portal	DOI:10.1038/s41467-020-16271-z	https://www.chemicalprobes.org/
262	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.5b01528	https://www.chemicalprobes.org/
263	Chemical Probes Portal	Ruxolitinib	https://www.chemicalprobes.org/
264	Chemical Probes Portal	DOI:10.1038/s41589-020-0506-0	https://www.chemicalprobes.org/
265	Chemical Probes Portal	ESCITALOPRAM	https://www.chemicalprobes.org/
266	Chemical Probes Portal	DOI:10.1021/jm990421v	https://www.chemicalprobes.org/
267	Chemical Probes Portal	DOI:10.1038/s41589-019-0225-6	https://www.chemicalprobes.org/
268	Chemical Probes Portal	TAK-243	https://www.chemicalprobes.org/
269	Chemical Probes Portal	DOI:10.1021/jm2017072	https://www.chemicalprobes.org/
270	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.6b00140	https://www.chemicalprobes.org/
271	Chemical Probes Portal	DOI:10.1039/d0ob00506a	https://www.chemicalprobes.org/
272	Chemical Probes Portal	MU1700	https://www.chemicalprobes.org/
273	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.2c01830	https://www.chemicalprobes.org/
274	Chemical Probes Portal	MRTX849	https://www.chemicalprobes.org/
275	Chemical Probes Portal	AMG-510	https://www.chemicalprobes.org/
276	Chemical Probes Portal	MRK952	https://www.chemicalprobes.org/
277	Chemical Probes Portal	JNJ-9350	https://www.chemicalprobes.org/
278	Chemical Probes Portal	DOI:10.1021/jm030121k	https://www.chemicalprobes.org/
279	Chemical Probes Portal	GNE-3511	https://www.chemicalprobes.org/
280	Chemical Probes Portal	DOI:10.1158/1538-7445.AM2022-2133	https://www.chemicalprobes.org/
281	Chemical Probes Portal	DOI:10.7554/eLife.88206	https://www.chemicalprobes.org/
282	Chemical Probes Portal	DOI:10.1021/acsmedchemlett.1c00273	https://www.chemicalprobes.org/
283	Chemical Probes Portal	DOI:10.7554/eLife.45457	https://www.chemicalprobes.org/
284	Chemical Probes Portal	DOI:10.1021/ml500240d	https://www.chemicalprobes.org/
285	Chemical Probes Portal	ALISERTIB	https://www.chemicalprobes.org/
286	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.3c00393	https://www.chemicalprobes.org/
287	Chemical Probes Portal	DOI:10.1021/jm300592r	https://www.chemicalprobes.org/
288	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.6b01634	https://www.chemicalprobes.org/
289	Chemical Probes Portal	DOI:10.1007/s10637-014-0120-7	https://www.chemicalprobes.org/
290	Chemical Probes Portal	DOI:10.1021/jm901771h	https://www.chemicalprobes.org/
291	Chemical Probes Portal	DOI:10.1021/jm2009327	https://www.chemicalprobes.org/
292	Chemical Probes Portal	DOI:10.1016/j.bmcl.2021.128149	https://www.chemicalprobes.org/
293	Chemical Probes Portal	DOI:10.1016/s0960-894x(03)00207-5	https://www.chemicalprobes.org/
294	Chemical Probes Portal	DOI:10.1158/0008-5472.CAN-09-1751	https://www.chemicalprobes.org/
295	Chemical Probes Portal	DOI:10.1021/ml200070g	https://www.chemicalprobes.org/
296	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.2c01200	https://www.chemicalprobes.org/
297	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.1c02078	https://www.chemicalprobes.org/
298	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.6b00070	https://www.chemicalprobes.org/
299	Chemical Probes Portal	DOI:10.1124/jpet.116.235333	https://www.chemicalprobes.org/
300	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.7b00231	https://www.chemicalprobes.org/
301	Chemical Probes Portal	DOI:10.1021/acsmedchemlett.0c00255	https://www.chemicalprobes.org/
302	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.7b01290	https://www.chemicalprobes.org/
303	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.7b01254	https://www.chemicalprobes.org/
304	Chemical Probes Portal	DOI:10.1002/anie.201603797	https://www.chemicalprobes.org/
305	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.9b01929	https://www.chemicalprobes.org/
306	Chemical Probes Portal	DOI:10.1021/acsmedchemlett.0c00378	https://www.chemicalprobes.org/
307	Chemical Probes Portal	DOI:10.1038/nchembio.538	https://www.chemicalprobes.org/
308	Chemical Probes Portal	DOI:10.1038/nchembio804	https://www.chemicalprobes.org/
309	Chemical Probes Portal	DOI:10.1016/j.ejmech.2021.113889	https://www.chemicalprobes.org/
310	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.0c02160	https://www.chemicalprobes.org/
311	Chemical Probes Portal	DOI:10.1002/anie.202101328	https://www.chemicalprobes.org/
312	Chemical Probes Portal	DOI:10.1016/j.chembiol.2020.08.014	https://www.chemicalprobes.org/
313	Chemical Probes Portal	DOI:10.1038/s41589-021-00898-0	https://www.chemicalprobes.org/
314	Chemical Probes Portal	DOI:10.1016/j.ejmech.2021.113481	https://www.chemicalprobes.org/
315	Chemical Probes Portal	DOI:10.1016/j.chembiol.2023.07.005	https://www.chemicalprobes.org/
316	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.2c01933	https://www.chemicalprobes.org/
317	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.3c00788	https://www.chemicalprobes.org/
318	Chemical Probes Portal	DOI:10.1016/j.bmcl.2020.127243	https://www.chemicalprobes.org/
319	Chemical Probes Portal	ABT-100	https://www.chemicalprobes.org/
320	Chemical Probes Portal	JQ1	https://www.chemicalprobes.org/
321	Chemical Probes Portal	MRK-740	https://www.chemicalprobes.org/
322	Chemical Probes Portal	Taxol	https://www.chemicalprobes.org/
323	Chemical Probes Portal	GSK484	https://www.chemicalprobes.org/
324	Chemical Probes Portal	GSK864	https://www.chemicalprobes.org/
325	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.9b01980	https://www.chemicalprobes.org/
326	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.6b01379	https://www.chemicalprobes.org/
327	Chemical Probes Portal	DOI:10.1021/acsmedchemlett.9b00186	https://www.chemicalprobes.org/
328	Chemical Probes Portal	DOI:10.1021/jm049039v	https://www.chemicalprobes.org/
329	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.1c01942	https://www.chemicalprobes.org/
330	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.0c00395	https://www.chemicalprobes.org/
331	Chemical Probes Portal	DOI:10.1158/2159-8290.CD-21-1156	https://www.chemicalprobes.org/
332	Chemical Probes Portal	DOI:10.1021/jm500431d	https://www.chemicalprobes.org/
333	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.0c00944	https://www.chemicalprobes.org/
334	Chemical Probes Portal	DOI:10.1021/jm4008664	https://www.chemicalprobes.org/
335	Chemical Probes Portal	MI-888	https://www.chemicalprobes.org/
336	Chemical Probes Portal	ABPA3	https://www.chemicalprobes.org/
337	Chemical Probes Portal	DOI:10.1038/s43018-023-00577-0	https://www.chemicalprobes.org/
338	Chemical Probes Portal	BiBET	https://www.chemicalprobes.org/
339	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.9b01803	https://www.chemicalprobes.org/
340	Chemical Probes Portal	DOI:10.1073/pnas.1015248108	https://www.chemicalprobes.org/
341	Chemical Probes Portal	DOI:10.1021/jm301258w	https://www.chemicalprobes.org/
342	Chemical Probes Portal	THZ1	https://www.chemicalprobes.org/
343	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.2c01693	https://www.chemicalprobes.org/
344	Chemical Probes Portal	DOI:10.1158/2159-8290.CD-20-0142	https://www.chemicalprobes.org/
345	Chemical Probes Portal	GSK1016790A	https://www.chemicalprobes.org/
346	Chemical Probes Portal	DOI:10.1021/acs.jmedchem.2c01267	https://www.chemicalprobes.org/
347	Chemical Probes Portal	DOI:10.1021/jm2008369	https://www.chemicalprobes.org/
