stage	reason	label	inchikey	target_key	raw	source_db	source
bioactivity	range reads high to low	98-85%	FYSWLIFIYIVHPI-DDWISSAJSA-N	O60885	98-85%	Chemical Probes Portal	
bioactivity	scientific-notation factor not applied	7.69 x 10^4 per M per sec	KXBDTLQSDKGAEB-UHFFFAOYSA-N	Q06187	7.69 x 10^4 per M per sec	Chemical Probes Portal	
bioactivity	p-scale endpoint with a molar unit	9.86 (0.11 nM) ER downregulation	DFBDRVGWBHBJNR-BBNFHIFMSA-N	P03372	9.86 (0.11 nM) ER downregulation; 9.55 (0.28 nM) PR antagonism; 10.4 (0.04 nM) anti-proliferation	Chemical Probes Portal	
bioactivity	p-scale endpoint with a molar unit	9.55 (0.28 nM) PR antagonism	DFBDRVGWBHBJNR-BBNFHIFMSA-N	P03372	9.86 (0.11 nM) ER downregulation; 9.55 (0.28 nM) PR antagonism; 10.4 (0.04 nM) anti-proliferation	Chemical Probes Portal	
bioactivity	p-scale endpoint with a molar unit	10.4 (0.04 nM) anti-proliferation	DFBDRVGWBHBJNR-BBNFHIFMSA-N	P03372	9.86 (0.11 nM) ER downregulation; 9.55 (0.28 nM) PR antagonism; 10.4 (0.04 nM) anti-proliferation	Chemical Probes Portal	
bioactivity	two numbers separated by '/'	18/36 nM Hi/Lo ATP	JBGYKRAZYDNCNV-UHFFFAOYSA-N	P31751	18/36 nM Hi/Lo ATP	Chemical Probes Portal	
bioactivity	two numbers separated by '/'	5.2/44 Hi/Lo ATP	JBGYKRAZYDNCNV-UHFFFAOYSA-N	P31749	5.2/44 Hi/Lo ATP	Chemical Probes Portal	
bioactivity	rate constant, not a potency	kinact 0.052 min–1	XFBJUMZGUOUWSC-UHFFFAOYSA-N	O00748	kinact 0.052 min–1	Chemical Probes Portal	
bioactivity	scientific-notation factor not applied	Kinact/Ki 6.83 ± 0.25 × 10*6 S-1 M-1	FUEYCNUHTBZPRF-SVBPBHIXSA-N	P07711	Kinact/Ki 6.83 ± 0.25 × 10*6 S-1 M-1	Chemical Probes Portal	
bioactivity	implausible molar value	16 M	ZPCGODCPRDIFRQ-UHFFFAOYSA-N	Q9H0K1	16 M	Chemical Probes Portal	
bioactivity	rate constant, not a potency	kinact/KI 38200 M–1·s–1	LTNDTFYBIKTRBQ-UHFFFAOYSA-N	P45984	kinact/KI 38,200 M–1·s–1	Chemical Probes Portal	
bioactivity	rate constant, not a potency	kinact/KI 70100 M–1·s–1	LTNDTFYBIKTRBQ-UHFFFAOYSA-N	P53779	kinact/KI 70,100 M–1·s–1	Chemical Probes Portal	
